engine_id,cycle,rul,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_12,sensor_15,sensor_20,sensor_21
1,23,169,642.14,1588.19,1394.75,553.98,47.25,521.52,8.424,38.94,23.4562
1,24,168,642.38,1590.83,1398.81,553.49,47.44,522.13,8.3891,39.0,23.3696
1,25,167,642.77,1594.1,1399.39,554.0,47.36,522.56,8.3917,38.95,23.4288
1,26,166,642.16,1589.08,1396.07,554.11,47.26,522.28,8.426,38.86,23.4149
1,27,165,642.44,1590.47,1401.84,554.07,47.37,522.0,8.4046,38.99,23.4472
1,28,164,642.35,1582.84,1399.13,554.68,47.41,522.57,8.4323,39.01,23.2841
1,29,163,641.91,1584.83,1400.99,554.25,47.24,522.41,8.4189,38.93,23.3597
1,30,162,642.2,1593.52,1396.08,554.37,47.4,522.19,8.4065,39.05,23.411
1,31,161,642.02,1584.18,1396.9,554.13,47.41,521.95,8.4104,38.94,23.3353
1,32,160,642.33,1591.38,1400.36,554.96,47.25,521.92,8.4148,39.02,23.4999
1,33,159,642.71,1588.4,1402.43,554.61,47.28,521.91,8.3753,38.83,23.3506
1,34,158,642.54,1581.47,1400.48,554.3,47.47,521.7,8.4349,38.81,23.3092
1,35,157,642.44,1590.0,1403.0,554.3,47.31,521.75,8.443,39.13,23.4164
1,36,156,642.54,1581.72,1405.54,554.53,47.25,522.32,8.4246,38.86,23.4308
1,37,155,641.99,1579.11,1398.9,554.63,47.29,522.29,8.4142,38.99,23.4352
1,38,154,641.93,1589.6,1399.5,554.7,47.27,522.42,8.4158,39.06,23.4768
1,39,153,642.01,1583.21,1400.69,553.97,47.12,522.23,8.414,38.7,23.3699
1,40,152,642.24,1582.08,1401.77,554.57,47.33,521.84,8.3784,38.84,23.3769
1,41,151,642.4,1591.31,1403.21,553.72,47.09,522.07,8.437,39.13,23.4444
1,42,150,642.12,1584.66,1401.38,553.94,47.49,522.23,8.4137,39.0,23.375
1,43,149,642.24,1591.52,1406.05,553.68,47.32,522.74,8.4068,38.99,23.3148
1,44,148,641.93,1586.94,1401.2,554.15,47.45,522.3,8.4201,39.06,23.4753
1,45,147,642.53,1582.42,1399.16,553.83,47.45,521.73,8.4099,38.79,23.3943
1,46,146,642.43,1588.29,1401.27,553.76,47.2,522.02,8.3977,38.93,23.3745
1,47,145,642.21,1580.32,1402.89,554.38,47.22,521.84,8.3973,38.99,23.4873
1,48,144,641.89,1588.51,1399.16,554.02,47.4,521.91,8.4376,38.94,23.365
1,49,143,642.23,1584.35,1397.76,554.23,47.22,521.37,8.4151,39.06,23.4498
1,50,142,642.77,1588.49,1403.62,553.92,47.47,522.33,8.4116,38.85,23.4106
1,51,141,642.81,1585.54,1400.42,553.73,47.12,521.91,8.4504,38.94,23.3651
1,52,140,642.76,1583.77,1395.57,553.04,47.07,522.1,8.4539,39.0,23.3388
1,53,139,642.61,1579.82,1402.26,554.16,47.29,521.96,8.4418,38.9,23.3775
1,54,138,642.42,1592.59,1401.2,553.95,47.38,522.44,8.4189,38.96,23.2348
1,55,137,642.41,1584.95,1401.58,554.45,47.4,522.11,8.4071,39.06,23.3567
1,56,136,642.49,1586.33,1400.76,553.98,47.26,522.48,8.4022,38.68,23.3408
1,57,135,642.13,1583.67,1402.79,553.42,47.29,521.62,8.4263,38.84,23.3567
1,58,134,641.9,1590.46,1397.99,554.14,47.26,522.21,8.4319,38.93,23.2893
1,59,133,642.33,1596.72,1403.51,554.62,47.26,521.32,8.4476,38.92,23.4444
1,60,132,642.34,1582.75,1403.07,554.0,47.41,522.49,8.3878,38.89,23.387
1,61,131,642.1,1583.55,1405.52,554.09,47.31,522.34,8.4264,38.89,23.3638
1,62,130,642.17,1581.59,1399.54,554.45,47.28,522.19,8.4071,39.03,23.2707
1,63,129,642.6,1592.14,1395.38,553.48,47.51,521.56,8.4357,38.77,23.3436
1,64,128,642.23,1584.51,1400.11,553.88,47.45,521.82,8.4066,38.93,23.384
1,65,127,642.28,1584.72,1403.24,553.97,47.56,521.54,8.4406,38.9,23.3752
1,66,126,642.5,1588.5,1399.52,554.0,47.14,521.76,8.3911,38.95,23.3152
1,67,125,642.33,1590.22,1403.02,554.31,47.39,522.64,8.3925,38.97,23.291
1,68,124,642.51,1582.06,1404.42,554.04,47.36,521.72,8.4242,38.95,23.3174
1,69,123,642.44,1590.7,1401.24,554.65,47.41,522.22,8.4292,39.0,23.3742
1,70,122,642.22,1584.02,1402.78,554.01,47.41,521.93,8.4279,38.86,23.4513
1,71,121,642.21,1580.41,1403.09,554.06,47.3,521.72,8.423,38.8,23.3881
1,72,120,642.41,1579.25,1406.81,553.76,47.27,521.97,8.3951,38.84,23.3085
1,73,119,642.29,1592.04,1397.93,553.88,47.29,522.04,8.404,39.03,23.3975
1,74,118,642.96,1584.65,1401.48,554.03,47.58,522.25,8.4135,38.8,23.382
1,75,117,641.96,1582.32,1394.82,553.6,47.22,521.77,8.4621,38.89,23.3521
1,76,116,642.21,1589.21,1398.94,553.66,47.44,521.58,8.3996,39.02,23.4428
1,77,115,642.55,1586.3,1400.97,554.61,47.41,521.6,8.453,38.99,23.275
1,78,114,641.99,1580.76,1404.1,553.47,47.4,522.28,8.3793,38.88,23.3486
1,79,113,642.12,1582.46,1403.93,553.77,47.35,521.85,8.4132,38.9,23.3121
1,80,112,641.94,1591.96,1393.58,553.91,47.64,521.52,8.4235,38.89,23.3613
1,81,111,642.73,1584.82,1402.04,553.88,47.43,521.66,8.4247,38.77,23.373
1,82,110,642.04,1589.07,1399.17,554.18,47.25,521.95,8.3986,38.89,23.2713
1,83,109,642.66,1588.05,1406.38,553.49,47.22,521.93,8.4128,38.8,23.3274
1,84,108,642.64,1585.52,1406.6,553.91,47.38,521.54,8.4139,38.73,23.2653
1,85,107,642.28,1590.12,1405.96,554.4,47.36,522.3,8.4499,39.01,23.284
1,86,106,641.84,1588.8,1403.56,553.69,47.38,521.82,8.4173,38.94,23.3945
1,87,105,642.33,1586.69,1413.1,554.1,47.34,521.43,8.4326,38.88,23.3402
1,88,104,641.96,1581.29,1406.09,554.48,47.46,522.2,8.4586,38.9,23.3086
1,89,103,642.24,1584.73,1402.22,553.91,47.46,521.55,8.4489,38.95,23.3288
1,90,102,642.67,1584.38,1412.93,552.88,47.32,521.49,8.3961,38.98,23.4712
1,91,101,641.98,1584.84,1404.76,553.54,47.32,521.55,8.3949,39.11,23.3842
1,92,100,642.89,1590.03,1400.77,553.81,47.45,521.91,8.3982,38.99,23.3522
1,93,99,642.85,1593.74,1408.48,554.07,47.46,521.43,8.421,38.86,23.2477
1,94,98,642.45,1583.27,1404.94,553.86,47.48,521.61,8.4524,38.85,23.3758
1,95,97,642.86,1577.6,1410.1,553.91,47.38,521.92,8.4575,38.76,23.3269
1,96,96,642.19,1584.07,1395.16,553.34,47.39,521.66,8.4311,38.88,23.3255
1,97,95,642.07,1595.77,1407.81,553.4,47.46,521.67,8.4105,39.01,23.2963
1,98,94,642.0,1591.11,1404.56,552.75,47.37,522.31,8.4012,38.96,23.2554
1,99,93,642.46,1592.73,1406.13,553.76,47.4,521.42,8.4481,38.82,23.2323
1,100,92,642.22,1589.63,1411.35,554.22,47.64,521.55,8.4241,38.93,23.409
1,101,91,642.75,1584.18,1403.41,553.37,47.62,521.89,8.4353,38.75,23.4149
1,102,90,642.85,1589.11,1403.42,553.42,47.49,521.38,8.4561,38.94,23.3653
1,103,89,642.21,1581.27,1403.21,553.64,47.57,521.41,8.4263,38.69,23.4289
1,104,88,642.29,1590.63,1406.25,553.66,47.34,522.38,8.4021,38.96,23.3393
1,105,87,642.01,1588.28,1403.22,553.11,47.31,521.81,8.4326,38.77,23.3857
1,106,86,642.68,1589.05,1404.45,553.6,47.44,521.51,8.4664,39.08,23.4148
1,107,85,642.53,1595.13,1407.73,553.74,47.35,521.75,8.4241,39.01,23.4086
1,108,84,643.49,1585.91,1399.47,554.43,47.61,521.52,8.4133,38.75,23.3032
1,109,83,642.49,1586.45,1409.1,553.59,47.58,521.62,8.3757,39.05,23.3561
1,110,82,642.55,1590.01,1401.27,554.08,47.55,522.01,8.4638,39.06,23.2951
1,111,81,642.67,1584.38,1408.11,553.49,47.62,521.53,8.4447,38.92,23.2135
1,112,80,642.66,1586.46,1401.84,553.19,47.22,521.9,8.4445,38.84,23.3207
1,113,79,642.68,1590.85,1406.59,552.91,47.46,521.75,8.458,38.9,23.3101
1,114,78,642.31,1588.42,1402.97,554.29,47.58,521.68,8.429,38.89,23.3754
1,115,77,642.66,1594.84,1406.6,554.13,47.43,521.36,8.4345,38.93,23.3022
1,116,76,642.64,1580.31,1401.99,554.4,47.43,521.6,8.4059,39.03,23.3512
1,117,75,642.38,1589.77,1409.35,554.59,47.52,521.22,8.4256,38.73,23.1766
1,118,74,642.34,1585.67,1409.34,554.25,47.55,521.31,8.4197,38.88,23.2966
1,119,73,642.67,1596.8,1404.46,553.77,47.55,521.46,8.4194,39.01,23.3188
1,120,72,642.81,1593.78,1407.68,553.66,47.6,521.34,8.4029,38.81,23.3061
1,121,71,642.63,1593.56,1411.9,553.7,47.44,521.3,8.4263,38.63,23.422
1,122,70,643.3,1593.68,1413.97,553.43,47.6,520.92,8.4256,38.86,23.2793
1,123,69,643.39,1586.66,1403.04,552.64,47.41,521.6,8.4396,38.9,23.292
1,124,68,642.48,1587.14,1402.28,552.26,47.55,521.4,8.4416,38.8,23.2341
1,125,67,642.96,1585.47,1406.42,552.44,47.63,521.57,8.4079,38.68,23.3039
1,126,66,642.49,1582.64,1418.5,553.72,47.49,521.35,8.4378,38.85,23.2289
1,127,65,642.99,1586.9,1399.49,553.81,47.63,521.34,8.4626,38.91,23.2772
1,128,64,642.47,1593.87,1407.06,552.74,47.62,521.96,8.4413,38.85,23.2641
1,129,63,642.41,1591.33,1408.42,552.42,47.61,522.02,8.4681,38.84,23.2656
1,130,62,642.7,1585.9,1412.25,552.66,47.46,521.49,8.3938,38.71,23.3461
1,131,61,643.01,1585.78,1413.25,553.7,47.7,521.45,8.4328,38.73,23.3435
1,132,60,643.19,1596.06,1405.76,553.16,47.56,521.64,8.4227,38.53,23.3186
1,133,59,642.45,1592.64,1410.11,553.82,47.57,521.23,8.4604,38.95,23.2521
1,134,58,642.85,1583.62,1402.67,553.2,47.75,521.52,8.4293,38.68,23.2833
1,135,57,642.45,1585.55,1406.83,553.09,47.34,520.99,8.4242,38.85,23.2744
1,136,56,642.84,1584.72,1404.39,554.18,47.43,521.54,8.4469,38.76,23.1699
1,137,55,642.43,1594.69,1405.15,553.39,47.89,521.63,8.449,38.87,23.2593
1,138,54,642.79,1589.82,1413.34,552.91,47.4,521.57,8.4208,39.0,23.3664
1,139,53,643.11,1592.28,1412.6,553.25,47.67,521.03,8.4621,38.88,23.3422
1,140,52,643.05,1590.89,1408.36,552.15,47.51,521.27,8.4397,38.82,23.3704
1,141,51,642.39,1590.02,1415.25,553.45,47.49,521.06,8.4641,39.02,23.2382
1,142,50,642.51,1595.29,1413.42,553.11,47.59,520.44,8.4291,38.71,23.2816
1,143,49,642.77,1593.1,1404.21,553.62,47.52,520.98,8.4419,38.79,23.2305
1,144,48,643.09,1591.89,1405.76,553.77,47.57,521.11,8.4601,38.75,23.2249
1,145,47,642.95,1594.92,1409.63,553.03,47.54,521.13,8.4644,38.67,23.149
1,146,46,642.72,1586.75,1408.82,552.6,47.63,521.13,8.4312,38.69,23.3233
1,147,45,642.25,1594.85,1409.96,553.09,47.8,520.92,8.4428,38.77,23.2684
1,148,44,643.02,1590.03,1411.89,552.84,47.49,521.08,8.4276,38.77,23.2498
1,149,43,642.9,1592.78,1410.7,552.54,47.83,521.13,8.4731,38.77,23.2565
1,150,42,643.06,1589.01,1409.22,553.57,47.6,520.5,8.4726,38.68,23.2082
1,151,41,642.82,1592.39,1411.94,552.41,47.58,520.94,8.4612,38.56,23.2277
1,152,40,642.67,1598.6,1420.83,552.62,47.72,520.39,8.4572,38.77,23.2369
1,153,39,642.99,1589.17,1414.56,552.68,47.74,520.69,8.4435,38.78,23.1719
1,154,38,642.81,1597.03,1416.07,552.57,47.73,520.72,8.4794,38.82,23.2366
1,155,37,642.83,1590.4,1414.89,552.89,47.61,521.23,8.4729,38.68,23.2749
1,156,36,643.04,1585.61,1421.23,553.24,47.58,520.75,8.4432,38.77,23.2791
1,157,35,642.2,1598.04,1412.47,552.32,47.72,520.94,8.4328,38.67,23.2354
1,158,34,642.88,1596.82,1410.09,553.19,47.68,520.88,8.4368,38.75,23.2894
1,159,33,642.89,1589.54,1420.37,552.18,47.76,520.65,8.4403,38.76,23.253
1,160,32,643.45,1590.65,1418.08,551.87,47.84,520.47,8.4433,38.52,23.2817
1,161,31,643.0,1594.2,1417.31,552.8,47.77,520.47,8.4405,38.66,23.2962
1,162,30,643.15,1592.22,1423.48,552.68,47.79,520.44,8.5015,38.78,23.1538
1,163,29,642.85,1600.54,1421.09,552.41,47.89,520.3,8.5129,38.65,23.1419
1,164,28,643.17,1598.96,1416.76,551.9,47.7,520.63,8.4803,38.62,23.1761
1,165,27,642.76,1597.03,1408.09,552.79,47.89,520.69,8.4922,38.59,23.2129
1,166,26,643.34,1596.72,1422.37,552.13,47.86,520.02,8.4663,38.62,23.145
1,167,25,643.02,1593.83,1414.72,552.57,47.85,520.49,8.4632,38.77,23.3011
1,168,24,642.68,1591.19,1415.7,552.09,47.84,520.78,8.4925,38.76,23.277
1,169,23,643.2,1590.16,1418.05,552.71,47.88,520.44,8.4767,38.58,23.187
1,170,22,642.92,1592.71,1417.41,552.02,47.86,520.23,8.49,38.66,23.1615
1,171,21,643.26,1592.06,1414.99,552.71,48.03,519.85,8.4922,38.68,23.2444
1,172,20,643.33,1591.71,1413.73,551.69,48.07,520.54,8.4595,38.65,23.1585
1,173,19,642.97,1590.69,1425.27,552.13,47.9,520.11,8.5091,38.59,23.1789
1,174,18,642.64,1599.81,1422.58,552.32,48.0,520.22,8.4476,38.57,23.0357
1,175,17,643.61,1603.29,1422.52,551.64,47.86,520.38,8.489,38.58,23.1573
1,176,16,642.86,1592.27,1422.73,551.91,47.84,519.8,8.4853,38.72,23.2491
1,177,15,643.79,1602.02,1423.99,551.93,48.03,520.24,8.4779,38.63,23.1673
1,178,14,643.38,1605.33,1424.65,552.18,48.0,520.2,8.477,38.65,23.177
1,179,13,642.86,1592.56,1429.45,551.57,48.02,520.38,8.4947,38.77,23.1888
1,180,12,643.58,1599.87,1417.14,552.91,47.85,519.84,8.4737,38.86,23.007
1,181,11,643.44,1596.71,1420.64,551.83,48.1,520.43,8.472,38.34,23.1652
1,182,10,644.21,1602.08,1426.62,551.9,47.98,520.46,8.5158,38.43,23.1787
1,183,9,643.24,1597.23,1419.03,551.38,48.03,520.05,8.5041,38.56,23.1302
1,184,8,644.07,1605.44,1432.52,551.0,48.07,519.77,8.5133,38.43,23.0146
1,185,7,643.8,1603.46,1424.4,551.64,48.15,519.82,8.4984,38.51,23.07
1,186,6,643.51,1595.16,1426.3,552.57,48.12,520.08,8.5227,38.47,23.0564
1,187,5,643.32,1592.1,1427.27,551.08,48.23,519.53,8.5218,38.42,23.0822
1,188,4,643.75,1602.38,1422.78,551.94,48.0,519.79,8.5207,38.51,22.9588
1,189,3,644.18,1596.17,1428.01,550.7,48.08,519.58,8.5183,38.48,23.1127
1,190,2,643.64,1599.22,1425.95,551.29,48.33,520.04,8.5223,38.49,23.0675
1,191,1,643.34,1602.36,1425.77,550.92,48.15,519.57,8.5174,38.45,23.1295
1,192,0,643.54,1601.41,1427.2,551.25,48.25,520.08,8.5113,38.48,22.9649
2,1,286,641.89,1583.84,1391.28,554.53,46.93,522.33,8.3905,38.94,23.4585
2,2,285,641.82,1587.05,1393.13,554.77,47.24,522.7,8.4167,39.06,23.4085
2,3,284,641.55,1588.32,1398.96,555.14,47.22,522.58,8.3802,39.11,23.425
2,4,283,641.68,1584.15,1396.08,554.25,47.1,522.49,8.4018,39.13,23.5027
2,5,282,641.73,1579.03,1402.52,555.12,47.25,522.27,8.3867,39.18,23.4234
2,6,281,641.3,1577.5,1396.76,554.98,47.05,522.8,8.38,39.15,23.427
2,7,280,642.03,1587.49,1400.65,554.84,47.1,522.14,8.3941,39.1,23.4718
2,8,279,642.55,1590.41,1395.39,554.65,47.2,522.77,8.3861,39.11,23.4381
2,9,278,641.98,1581.99,1395.01,554.69,47.14,522.4,8.3868,39.06,23.4875
2,10,277,641.99,1586.37,1394.86,554.63,47.21,521.99,8.3982,39.2,23.6005
2,11,276,642.26,1589.21,1401.29,554.7,47.21,522.2,8.4188,39.23,23.3888
2,12,275,641.64,1579.99,1401.9,554.57,47.13,521.94,8.3925,39.12,23.4201
2,13,274,641.78,1586.77,1401.53,554.69,47.03,522.33,8.3742,38.88,23.4317
2,14,273,641.66,1584.04,1395.46,554.47,47.12,523.07,8.3887,38.93,23.4074
2,15,272,642.21,1579.84,1402.11,554.17,47.17,521.96,8.3704,38.94,23.4311
2,16,271,641.81,1581.99,1393.46,554.53,47.24,522.49,8.3805,39.01,23.4462
2,17,270,642.43,1583.58,1390.27,553.62,47.13,522.71,8.3714,39.04,23.5245
2,18,269,641.95,1588.43,1400.25,554.83,47.22,522.92,8.4053,39.0,23.4203
2,19,268,641.75,1576.84,1401.77,555.25,47.14,522.38,8.4035,39.1,23.4102
2,20,267,642.34,1582.94,1394.38,554.64,47.14,522.54,8.3698,39.02,23.3821
2,21,266,642.05,1579.51,1392.28,554.72,47.04,522.58,8.3954,39.24,23.5014
2,22,265,642.16,1580.18,1397.67,554.35,47.17,521.73,8.3792,38.98,23.4241
2,23,264,642.37,1580.89,1387.5,554.69,47.21,522.26,8.3937,39.1,23.2867
2,24,263,641.99,1580.97,1398.67,553.5,47.15,522.25,8.3866,39.18,23.3981
2,25,262,641.81,1585.38,1396.62,554.14,47.19,522.31,8.3959,38.99,23.4883
2,26,261,641.87,1575.38,1392.3,554.03,47.12,522.8,8.3472,38.96,23.4691
2,27,260,642.12,1585.44,1402.31,555.16,47.03,522.11,8.4077,38.96,23.4275
2,28,259,642.04,1581.6,1397.45,554.77,46.99,522.68,8.3734,38.95,23.4395
2,29,258,642.08,1583.78,1398.08,554.75,47.11,522.26,8.37,38.97,23.4249
2,30,257,641.78,1590.32,1395.07,554.62,47.2,522.43,8.419,39.1,23.3985
2,31,256,641.97,1579.86,1390.94,554.8,47.05,522.17,8.4393,39.17,23.4154
2,32,255,641.58,1584.52,1391.11,554.56,47.12,522.54,8.3783,38.97,23.4006
2,33,254,641.79,1585.17,1396.15,553.62,47.09,522.26,8.4102,39.01,23.4434
2,34,253,642.12,1584.08,1394.24,555.09,47.22,522.64,8.4188,38.87,23.4571
2,35,252,641.37,1575.73,1392.55,554.73,47.25,522.0,8.4164,39.06,23.5283
2,36,251,641.27,1581.56,1397.13,554.59,47.21,522.32,8.3709,39.12,23.3881
2,37,250,642.1,1585.63,1396.29,555.01,47.16,522.69,8.3609,39.08,23.4047
2,38,249,642.22,1585.15,1397.75,554.21,47.22,522.13,8.4069,39.09,23.4191
2,39,248,642.0,1585.69,1391.49,554.05,47.2,522.79,8.3755,39.02,23.4489
2,40,247,642.02,1582.69,1398.38,554.07,47.22,522.3,8.401,38.84,23.4402
2,41,246,642.41,1578.97,1398.74,554.34,47.26,522.22,8.3856,38.94,23.3071
2,42,245,642.27,1579.21,1392.13,553.98,47.14,522.87,8.3449,39.08,23.4631
2,43,244,642.02,1580.59,1391.6,554.14,47.08,522.9,8.4144,38.92,23.4966
2,44,243,642.01,1584.33,1398.69,554.16,47.22,522.77,8.4087,39.03,23.4546
2,45,242,642.05,1586.41,1397.6,554.2,47.17,522.27,8.3847,38.99,23.4284
2,46,241,642.15,1575.45,1392.6,554.54,47.19,522.08,8.3994,38.93,23.5041
2,47,240,642.4,1583.85,1396.46,554.96,47.03,522.73,8.3756,38.89,23.3447
2,48,239,642.09,1586.71,1397.95,554.67,47.18,522.41,8.3821,39.23,23.4336
2,49,238,642.85,1583.86,1396.5,554.04,47.18,522.83,8.4024,39.17,23.4871
2,50,237,642.02,1577.86,1399.78,554.73,47.16,522.16,8.4042,39.1,23.353
2,51,236,642.03,1585.34,1393.06,555.02,47.03,522.34,8.3731,38.9,23.3239
2,52,235,641.52,1588.48,1401.66,554.76,47.09,522.58,8.4064,39.08,23.3668
2,53,234,642.0,1584.9,1397.09,554.33,46.98,522.73,8.411,38.95,23.5307
2,54,233,641.58,1583.46,1405.33,554.42,47.1,522.48,8.4057,39.13,23.3626
2,55,232,642.33,1585.59,1387.16,554.54,47.18,522.7,8.4077,39.11,23.3779
2,56,231,641.84,1587.04,1388.97,554.72,47.03,522.1,8.393,39.1,23.3796
2,57,230,642.5,1584.13,1389.62,553.87,47.17,521.98,8.4008,39.23,23.4544
2,58,229,642.3,1582.93,1389.91,554.46,47.3,522.24,8.3731,39.15,23.3861
2,59,228,642.48,1584.24,1397.95,554.6,47.17,522.78,8.4036,39.04,23.4347
2,60,227,642.09,1584.57,1396.84,554.06,47.12,521.93,8.4003,39.11,23.3928
2,61,226,642.41,1585.45,1399.71,555.08,47.09,522.69,8.4006,39.04,23.2745
2,62,225,641.81,1577.87,1401.66,554.52,47.27,521.78,8.4193,39.23,23.4442
2,63,224,641.91,1575.83,1395.05,554.63,47.17,522.15,8.3867,38.98,23.325
2,64,223,641.66,1581.65,1401.46,554.93,47.11,522.18,8.4144,39.07,23.398
2,65,222,641.7,1582.59,1395.4,554.28,47.34,522.52,8.4128,38.92,23.3455
2,66,221,642.26,1584.6,1394.01,554.11,47.17,522.65,8.4121,39.0,23.426
2,67,220,642.17,1587.63,1395.44,554.99,46.96,522.58,8.3761,39.02,23.3933
2,68,219,642.5,1577.16,1399.27,554.07,47.16,522.2,8.4141,38.97,23.4076
2,69,218,642.73,1586.47,1399.73,554.35,47.33,522.21,8.4116,39.09,23.3783
2,70,217,641.76,1593.24,1397.3,554.47,47.26,522.17,8.4118,39.06,23.3894
2,71,216,642.39,1586.68,1403.09,555.01,47.24,522.02,8.3993,38.92,23.317
2,72,215,642.48,1583.11,1393.85,554.54,47.19,522.4,8.4012,39.12,23.4393
2,73,214,641.73,1586.57,1400.98,554.41,47.15,522.95,8.3896,38.94,23.4567
2,74,213,642.39,1584.04,1396.13,555.36,47.25,521.97,8.3932,39.07,23.4015
2,75,212,641.64,1578.27,1390.64,555.45,47.09,522.54,8.3944,38.99,23.421
2,76,211,642.01,1586.91,1399.66,554.05,46.99,522.08,8.3629,38.88,23.4591
2,77,210,641.97,1588.54,1395.38,554.06,46.95,522.36,8.4399,39.01,23.4969
2,78,209,642.44,1587.2,1394.24,554.83,47.12,522.57,8.4018,38.96,23.5367
2,79,208,641.62,1585.59,1398.51,554.19,47.23,522.26,8.3931,39.15,23.2873
2,80,207,641.37,1588.33,1394.0,554.94,47.2,523.26,8.3889,38.95,23.4198
2,81,206,641.72,1578.31,1390.12,555.25,47.25,522.62,8.4162,39.08,23.4685
2,82,205,641.86,1587.24,1402.78,554.17,47.19,522.3,8.3428,39.17,23.4491
2,83,204,641.73,1585.18,1398.81,554.18,47.13,523.13,8.3997,39.0,23.4056
2,84,203,642.41,1586.46,1402.26,554.86,47.29,522.75,8.394,38.95,23.4055
2,85,202,641.73,1588.31,1398.33,554.5,47.19,522.63,8.3954,39.13,23.4072
2,86,201,641.85,1579.31,1399.12,554.51,47.27,522.26,8.3958,38.87,23.4982
2,87,200,642.36,1582.64,1399.51,554.77,47.26,522.59,8.3952,39.1,23.2916
2,88,199,642.23,1587.88,1398.17,554.71,47.04,522.62,8.3851,39.06,23.4173
2,89,198,641.95,1584.62,1394.07,554.18,47.18,522.42,8.4143,39.18,23.4148
2,90,197,642.06,1580.77,1405.34,554.1,47.21,522.04,8.3922,38.9,23.4878
2,91,196,642.09,1583.57,1399.47,553.79,47.15,522.48,8.4026,39.1,23.3972
2,92,195,642.36,1584.87,1399.17,554.28,47.13,522.45,8.3919,38.81,23.2772
2,93,194,642.21,1591.68,1392.48,553.92,47.24,522.52,8.4005,38.94,23.3075
2,94,193,642.1,1585.62,1395.39,554.53,47.38,522.74,8.4075,39.15,23.4165
2,95,192,642.56,1579.26,1402.79,553.99,47.06,522.37,8.3773,38.98,23.4318
2,96,191,642.42,1576.94,1399.59,554.4,47.07,521.66,8.3698,38.92,23.3285
2,97,190,642.04,1586.12,1400.5,554.42,47.19,522.22,8.4202,39.06,23.3578
2,98,189,641.73,1587.84,1401.08,554.57,47.21,522.92,8.4115,39.08,23.5011
2,99,188,642.04,1585.48,1400.97,554.43,47.13,522.5,8.4179,39.15,23.3414
2,100,187,642.04,1586.01,1402.72,554.48,47.21,522.01,8.4107,38.85,23.331
2,101,186,641.96,1582.66,1397.81,555.07,47.37,522.4,8.3835,38.93,23.4257
2,102,185,642.44,1590.24,1407.05,554.44,47.19,522.05,8.4052,38.92,23.3453
2,103,184,642.05,1587.75,1392.16,554.44,47.23,522.36,8.4148,39.12,23.4403
2,104,183,642.41,1582.04,1397.31,554.91,47.26,522.18,8.4037,39.03,23.4053
2,105,182,641.94,1585.65,1397.45,554.81,47.32,522.11,8.4056,39.0,23.3467
2,106,181,641.87,1584.61,1402.62,553.96,47.32,522.11,8.3727,39.09,23.4154
2,107,180,642.52,1581.7,1402.93,554.21,47.16,522.34,8.3723,39.13,23.5191
2,108,179,642.24,1578.45,1396.25,554.29,47.23,522.27,8.3978,38.75,23.4441
2,109,178,642.12,1590.41,1392.9,553.72,47.28,522.0,8.4061,39.1,23.3497
2,110,177,642.29,1583.3,1398.47,554.5,47.31,522.27,8.3723,39.06,23.3997
